Cast Vote Record	Precinct	Payson City Council 1st Choice Payson City Council	Payson City Council 2nd Choice Payson City Council	Payson City Council 3rd Choice Payson City Council	Payson City Council 4th Choice Payson City Council	Payson City Council 5th Choice Payson City Council
30355	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote
30356	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote
30357	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30358	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30359	PA01	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote	undervote
30360	PA04	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
30361	PA07	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER
30362	PA08	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
30363	PA03	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote
30364	PA04	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
30365	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
30366	PA08	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30367	PA03	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
30368	PA08	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
30369	PA07	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER
30370	PA01	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
30371	PA04	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30372	PA01	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
30373	PA02	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
30374	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	undervote	undervote
30375	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote
30376	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30377	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30378	PA08	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
30379	PA04	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30380	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30381	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30382	PA01	LINDA CARTER	undervote	undervote	undervote	undervote
30383	PA01	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	DOUG WELTON
30384	PA01	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	DOUG WELTON
30385	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
30386	PA01	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER
30387	PA02	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
30388	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30389	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30390	PA05	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER
30391	PA05	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
30392	PA04	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON
30393	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30394	PA04	LINDA CARTER	undervote	undervote	undervote	undervote
30395	PA03	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
30396	PA04	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30397	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30398	PA01	DOUG WELTON	LINDA CARTER	undervote	undervote	undervote
30399	PA01	LINDA CARTER	undervote	undervote	undervote	undervote
30400	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30401	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
30402	PA06	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
30403	PA05	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET
30404	PA06	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
30405	PA06	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
30406	PA06	LINDA CARTER	undervote	undervote	undervote	undervote
30407	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30408	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30409	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30410	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30411	PA01	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
30412	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
30413	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
30414	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
30415	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
30416	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
30417	PA07	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM
30418	PA01	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER
30419	PA03	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
30420	PA03	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL
30421	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30422	PA04	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30423	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
30424	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
30425	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	undervote	undervote
30426	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30427	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
30428	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
30429	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
30430	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
30431	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30432	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
30433	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
30434	PA07	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30435	PA07	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30436	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
30437	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
30438	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30439	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30440	PA08	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
30441	PA08	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
30442	PA04	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
30443	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30444	PA03	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
30445	PA04	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
30446	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30447	PA07	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote
30448	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30449	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
30450	PA02	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
30451	PA02	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
30452	PA03	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
30453	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30454	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30455	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
30456	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
30457	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
30458	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM
30459	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30460	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
30461	PA07	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	undervote
30462	PA07	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	undervote
30463	PA02	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL
30464	PA07	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
30465	PA02	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	undervote	undervote
30466	PA07	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
30467	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30468	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
30469	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
30470	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30471	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30472	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30473	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30474	PA04	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
30475	PA04	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
30476	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30477	PA03	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31650	PA02	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
31651	PA08	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
31652	PA05	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31653	PA05	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31654	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31655	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31656	PA04	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31657	PA04	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31658	PA05	LINDA CARTER	BRIAN V. HULET	undervote	undervote	undervote
31659	PA02	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM
31660	PA02	LINDA CARTER	undervote	undervote	undervote	undervote
31661	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31662	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31663	PA02	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM
31664	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
31665	PA07	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET
31666	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
31667	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	overvote
31668	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	undervote
31669	PA07	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
31670	PA04	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET
31671	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
31672	PA04	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
31673	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
31674	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31675	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31676	PA07	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31677	PA07	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	undervote	undervote
31678	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
31679	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31680	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM
31681	PA03	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
31682	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31683	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31684	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31685	PA02	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
31686	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON
31687	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET
31688	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
31689	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
31690	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31691	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	CARY KENNETH STOCKWELL
31692	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
31693	PA02	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
31694	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31695	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
31696	PA08	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	undervote
31697	PA08	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
31698	PA03	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
31699	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31700	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	undervote	undervote
31701	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
31702	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	overvote	undervote
31703	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31704	PA04	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31705	PA01	DOUG WELTON	BRIAN V. HULET	undervote	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31706	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31707	PA08	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31708	PA08	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31709	PA01	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
31710	PA01	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	undervote	undervote
31711	PA02	BRIAN V. HULET	LINDA CARTER	undervote	undervote	undervote
31712	PA02	BRIAN V. HULET	LINDA CARTER	undervote	undervote	undervote
31713	PA03	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
31714	PA03	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
