Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
31537	VI02	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
31538	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	undervote	undervote
31539	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote
31540	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ
31541	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31542	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON
31543	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31544	VI01	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER
31545	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote
31546	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote
31547	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
31548	VI01	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH	undervote	KEITH KUDER	ANTHONY JENKINS
31549	VI01	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
31550	VI01	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
31551	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
31552	VI01	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
31553	VI01	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
31554	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS
31555	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON
31556	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
31557	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
31558	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
31559	VI01	KEITH KUDER	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
31560	VI02	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
31561	VI02	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
31562	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH
31563	VI01	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote	undervote	undervote
31564	VI01S2	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote	undervote
31565	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote	undervote
31566	VI02	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET
31567	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote
31568	VI01	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote	undervote
31569	VI01	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
31570	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31571	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	undervote	undervote	undervote	undervote
31572	VI01	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
31573	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	undervote	undervote	undervote	undervote
31574	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON
31575	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON
31576	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
31577	VI02	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
31578	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31579	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31580	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
31581	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
31582	VI01	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
31583	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	KEITH KUDER
31584	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
31585	VI02	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET
31586	VI02	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
31587	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
31588	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
31589	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
31590	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31591	VI02	CRISTY WELSH	CRISTY WELSH	CRISTY WELSH	undervote	undervote	undervote	undervote
31592	VI01S	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31593	VI02	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET
31594	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	undervote
31595	VI01	DAVID LAURET	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
31596	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
31597	VI01S2	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
31598	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31599	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	undervote	undervote	undervote
31600	VI01	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH
31601	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
31602	VI01	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31603	VI02	DAVID LAURET	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON
31604	VI01	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	undervote	undervote	undervote
31605	VI01	G. TYCE FLAKE	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
31606	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS
31607	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31608	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31609	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
31610	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	undervote	undervote
31611	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31612	VI02	DAVID LAURET	undervote	undervote	undervote	undervote	undervote	undervote
31613	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	undervote	undervote	undervote	undervote
31614	VI01	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS
31615	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	DAVID LAURET	undervote	undervote	undervote
31616	VI02	KEITH KUDER	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE
31617	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote	undervote
31618	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
31619	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER	undervote
31620	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ
31621	VI01	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH
31622	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	KEITH KUDER	undervote	ANTHONY JENKINS
31623	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH
31624	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	undervote
31625	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
31626	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	TAY GUDMUNDSON
31627	VI01	CRISTY WELSH	KEITH KUDER	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
31628	VI01	KEITH KUDER	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
31629	VI02	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH
31630	VI01	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
31631	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
31632	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS
31633	VI01	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS
31634	VI01	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	CRISTY WELSH
31635	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31636	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
31637	VI02	KEITH KUDER	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
31638	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
31639	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31640	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31641	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
31642	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
31643	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
31644	VI01	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET
31645	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
31646	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote	undervote
31647	VI01	undervote	undervote	undervote	undervote	undervote	undervote	undervote
